Date,Temperature Max,Hours Open,Public Holiday,School Holiday,Day of the Week,Day of the Year,Crowd Size,Crowd Level
6/05/2021,22,14,1,0,4,126,,
7/05/2021,23,14,0,0,5,127,,
8/05/2021,21,14,0,0,6,128,,
9/05/2021,22,14,0,0,7,129,,
10/05/2021,23,14,0,0,1,130,,
11/05/2021,25,14,0,0,2,131,,
12/05/2021,25,14,0,0,3,132,,
13/05/2021,23,14,0,0,4,133,,
14/05/2021,22,14,0,0,5,134,,
15/05/2021,22,14,0,0,6,135,,
16/05/2021,23,14,0,0,7,136,,
17/05/2021,22,14,0,0,1,137,,
18/05/2021,22,14,0,0,2,138,,
19/05/2021,22,14,0,0,3,139,,
20/05/2021,22,14,0,0,4,140,,
21/05/2021,22,14,0,0,5,141,,
22/05/2021,23,14,0,0,6,142,,
23/05/2021,22,14,0,0,7,143,,
24/05/2021,22,14,0,0,1,144,,
25/05/2021,23,14,0,0,2,145,,
26/05/2021,23,14,0,0,3,146,,
27/05/2021,26,14,0,0,4,147,,
28/05/2021,23,14,0,0,5,148,,
29/05/2021,23,14,0,0,6,149,,
30/05/2021,23,14,0,0,7,150,,
31/05/2021,23,14,0,0,1,151,,
1/06/2021,21,14,0,0,2,152,,
2/06/2021,21,14,0,0,3,153,,
3/06/2021,20,14,0,0,4,154,,
4/06/2021,21,14,0,0,5,155,,
5/06/2021,22,14,0,0,6,156,,
6/06/2021,22,14,0,0,7,157,,
7/06/2021,23,14,0,0,1,158,,
8/06/2021,21,13,0,0,2,159,,
9/06/2021,22,13,0,0,3,160,,
10/06/2021,23,13,0,0,4,161,,
11/06/2021,25,13,0,0,5,162,,
12/06/2021,25,13,0,0,6,163,,
13/06/2021,23,14,0,0,7,164,,
14/06/2021,22,14,0,0,1,165,,
15/06/2021,22,13,0,0,2,166,,
16/06/2021,23,13,0,0,3,167,,
17/06/2021,22,13,0,0,4,168,,
18/06/2021,22,13,0,0,5,169,,
19/06/2021,22,14,0,0,6,170,,
20/06/2021,22,14,0,0,7,171,,
21/06/2021,22,14,0,0,1,172,,
22/06/2021,23,13,0,0,2,173,,
23/06/2021,22,13,0,0,3,174,,
24/06/2021,22,13,0,0,4,175,,
25/06/2021,23,13,0,0,5,176,,
26/06/2021,23,13,0,0,6,177,,
27/06/2021,23,14,0,0,7,178,,
28/06/2021,23,14,0,0,1,179,,
